sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot
189513,https://sofifa.com/player/189513/daniel-parejo-munoz/20/159586,Parejo,Daniel Parejo Muñoz,30,16/04/1989,182,74,Spain,Valencia CF,86,86,41000000,69000,CM,Right
189596,https://sofifa.com/player/189596/thomas-muller/20/159586,T. Müller,Thomas Müller,29,13/09/1989,186,75,Germany,FC Bayern München,86,86,43500000,170000,"CAM, RM, RW",Right
192387,https://sofifa.com/player/192387/ciro-immobile/20/159586,C. Immobile,Ciro Immobile,29,20/02/1990,185,85,Italy,Lazio,86,86,44500000,105000,ST,Right
193301,https://sofifa.com/player/193301/alexandre-lacazette/20/159586,A. Lacazette,Alexandre Lacazette,28,28/05/1991,175,73,France,Arsenal,86,86,46000000,165000,ST,Right
235243,https://sofifa.com/player/235243/matthijs-de-ligt/20/159586,M. de Ligt,Matthijs de Ligt,19,12/08/1999,189,89,Netherlands,Juventus,85,93,50000000,76000,CB,Right
230621,https://sofifa.com/player/230621/gianluigi-donnarumma/20/159586,G. Donnarumma,Gianluigi Donnarumma,20,25/02/1999,196,90,Italy,Milan,85,92,41500000,34000,GK,Right
228702,https://sofifa.com/player/228702/frenkie-de-jong/20/159586,F. de Jong,Frenkie de Jong,22,12/05/1997,180,74,Netherlands,FC Barcelona,85,91,52000000,195000,"CM, CDM",Right
201535,https://sofifa.com/player/201535/raphael-varane/20/159586,R. Varane,Raphaël Varane,26,25/04/1993,191,81,France,Real Madrid,85,90,45000000,205000,CB,Right
212190,https://sofifa.com/player/212190/niklas-sule/20/159586,N. Süle,Niklas Süle,23,03/09/1995,195,97,Germany,FC Bayern München,85,90,46500000,115000,CB,Right
223848,https://sofifa.com/player/223848/sergej-milinkovic-savic/20/159586,S. Milinković-Savić,Sergej Milinković-Savić,24,27/02/1995,191,76,Serbia,Lazio,85,90,50500000,73000,"CM, CAM",Right
231866,https://sofifa.com/player/231866/rodrigo-hernandez-cascante/20/159586,Rodri,Rodrigo Hernández Cascante,23,22/06/1996,191,82,Spain,Manchester City,85,90,47000000,150000,"CDM, CM",Right
208421,https://sofifa.com/player/208421/saul-niguez-esclapez/20/159586,Saúl,Saúl Ñíguez Esclápez,24,21/11/1994,184,77,Spain,Atlético Madrid,85,89,49500000,77000,"CM, LM, RM",Left
209499,https://sofifa.com/player/209499/fabio-henrique-tavares/20/159586,Fabinho,Fábio Henrique Tavares,25,23/10/1993,188,78,Brazil,Liverpool,85,89,45000000,125000,CDM,Right
216267,https://sofifa.com/player/216267/andrew-robertson/20/159586,A. Robertson,Andrew Robertson,25,11/03/1994,178,64,Scotland,Liverpool,85,89,43500000,125000,LB,Left
216460,https://sofifa.com/player/216460/jose-maria-gimenez/20/159586,J. Giménez,José María Giménez de Vargas,24,20/01/1995,185,80,Uruguay,Atlético Madrid,85,89,45000000,69000,CB,Right
220440,https://sofifa.com/player/220440/clement-lenglet/20/159586,C. Lenglet,Clément Lenglet,24,17/06/1995,186,81,France,FC Barcelona,85,89,45000000,175000,CB,Left
212198,https://sofifa.com/player/212198/bruno-miguel-borges-fernandes/20/159586,Bruno Fernandes,Bruno Miguel Borges Fernandes,24,08/09/1994,179,69,Portugal,Sporting CP,85,88,49000000,24000,"CAM, CM",Right
199482,https://sofifa.com/player/199482/anthony-lopes/20/159586,A. Lopes,Anthony Lopes,28,01/10/1990,184,81,Portugal,Olympique Lyonnais,85,87,33500000,88000,GK,Left
185122,https://sofifa.com/player/185122/peter-gulacsi/20/159586,P. Gulácsi,Péter Gulácsi,29,06/05/1990,192,86,Hungary,RB Leipzig,85,86,31000000,69000,GK,Right
189117,https://sofifa.com/player/189117/roman-burki/20/159586,R. Bürki,Roman Bürki,28,14/11/1990,187,85,Switzerland,Borussia Dortmund,85,86,32000000,92000,GK,Right
192505,https://sofifa.com/player/192505/romelu-lukaku/20/159586,R. Lukaku,Romelu Lukaku,26,13/05/1993,190,94,Belgium,Inter,85,86,46000000,115000,ST,Left
192774,https://sofifa.com/player/192774/kostas-manolas/20/159586,K. Manolas,Kostas Manolas,28,14/06/1991,189,83,Greece,Napoli,85,86,37500000,105000,CB,Right
194404,https://sofifa.com/player/194404/norberto-murara-neto/20/159586,Neto,Norberto Murara Neto,29,19/07/1989,190,84,Brazil,FC Barcelona,85,86,31000000,175000,GK,Right
197445,https://sofifa.com/player/197445/david-alaba/20/159586,D. Alaba,David Olatukunbo Alaba,27,24/06/1992,180,78,Austria,FC Bayern München,85,86,38000000,135000,"LB, CB",Left
201399,https://sofifa.com/player/201399/mauro-icardi/20/159586,M. Icardi,Mauro Emanuel Icardi Rivero,26,19/02/1993,181,75,Argentina,Inter,85,86,46000000,115000,ST,Right
204963,https://sofifa.com/player/204963/daniel-carvajal-ramos/20/159586,Carvajal,Daniel Carvajal Ramos,27,11/01/1992,173,73,Spain,Real Madrid,85,86,38000000,205000,RB,Right
208670,https://sofifa.com/player/208670/hakim-ziyech/20/159586,H. Ziyech,Hakim Ziyech,26,19/03/1993,181,65,Morocco,Ajax,85,86,45000000,39000,"CAM, RW",Left
41236,https://sofifa.com/player/41236/zlatan-ibrahimovic/20/159586,Z. Ibrahimović,Zlatan Ibrahimović,37,03/10/1981,195,95,Sweden,LA Galaxy,85,85,14000000,15000,ST,Right
143076,https://sofifa.com/player/143076/alejandro-gomez/20/159586,A. Gómez,Alejandro Darío Gómez,31,15/02/1988,165,68,Argentina,Atalanta,85,85,34000000,92000,"CAM, CF, ST",Right
167664,https://sofifa.com/player/167664/gonzalo-higuain/20/159586,G. Higuaín,Gonzalo Gerardo Higuaín,31,10/12/1987,186,89,Argentina,Juventus,85,85,34500000,175000,ST,Right
